time side P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 acc1 acc2 acc3 ang1 ang2 ang3 totalForce cop1 cop2 
10444398 0 39 42 39 38 13 18 0 0 2 4 6 6 0 9 0 1 -0.183 0.107 0.985 -0.84 2.38 -0.63 617 -0.23465 -0.05505 
10444410 0 40 42 39 38 12 18 0 1 1 4 6 5 0 9 0 1 -0.183 0.108 0.981 -0.98 2.45 -0.7 614 -0.23939 -0.05793 
10435711 1 0 5 4 2 0 0 0 0 1 0 0 0 0 0 0 0 -0.222 0.041 0.974 -3.36 -2.87 3.29 34 0.0 0.0 
10435721 1 0 5 4 1 0 0 0 0 0 0 0 0 0 0 0 0 -0.219 0.047 0.974 -3.36 -3.01 3.29 28 0.0 0.0 
10435731 1 0 5 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.226 0.043 0.977 -3.22 -3.15 3.15 34 0.0 0.0 
10435743 1 0 5 4 4 0 0 0 0 0 0 0 0 0 0 0 0 -0.222 0.045 0.971 -3.15 -3.29 3.15 37 0.0 0.0 
10435751 1 0 5 3 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.224 0.041 0.969 -3.22 -3.43 3.15 31 0.0 0.0 
10444418 0 39 42 39 38 12 17 0 0 2 5 6 6 0 8 0 1 -0.172 0.107 0.983 -1.05 2.45 -0.7 611 -0.23584 -0.05489 
10444428 0 38 42 39 38 12 18 0 0 2 5 6 6 0 8 0 1 -0.182 0.109 0.984 -0.98 2.38 -0.7 612 -0.23466 -0.0567 
10444438 0 39 43 39 38 12 19 0 0 1 4 6 6 0 7 0 0 -0.171 0.114 0.976 -0.98 2.31 -0.77 610 -0.24479 -0.06022 
10435761 1 0 6 3 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.22 0.044 0.973 -3.22 -3.5 3.22 30 0.0 0.0 
10435771 1 0 6 4 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.225 0.047 0.969 -3.22 -3.64 3.22 33 0.0 0.0 
10435783 1 0 5 5 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.227 0.046 0.972 -3.29 -3.64 3.29 37 0.0 0.0 
10435791 1 0 5 2 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.224 0.042 0.975 -3.36 -3.78 3.29 28 0.0 0.0 
10444450 0 39 44 40 38 12 18 0 1 1 4 6 6 0 7 0 0 -0.176 0.105 0.978 -0.77 2.31 -0.7 616 -0.24447 -0.06112 
10444458 0 39 43 40 38 12 18 0 0 0 4 6 7 0 7 0 0 -0.176 0.109 0.981 -0.77 2.17 -0.56 609 -0.24614 -0.06151 
10444468 0 39 44 39 38 12 19 0 0 2 4 6 6 0 8 0 0 -0.173 0.108 0.98 -0.77 2.24 -0.49 618 -0.24013 -0.05782 
10444478 0 39 44 39 38 12 18 0 0 1 5 6 5 0 7 0 0 -0.18 0.111 0.986 -0.77 2.17 -0.56 609 -0.24584 -0.05792 
10444490 0 38 43 39 38 12 18 0 0 1 4 6 5 0 8 1 0 -0.174 0.111 0.982 -0.98 2.24 -0.63 606 -0.24106 -0.05804 
10444498 0 39 43 40 38 12 17 0 0 0 4 6 6 0 7 0 0 -0.177 0.107 0.987 -1.12 2.31 -0.56 603 -0.24878 -0.05935 
10444508 0 38 44 39 38 12 18 0 1 0 4 6 6 0 7 0 1 -0.169 0.115 0.98 -1.26 2.38 -0.63 608 -0.2451 -0.06525 
10444518 0 38 44 40 38 11 18 0 1 2 4 6 6 0 8 0 0 -0.175 0.114 0.983 -1.26 2.38 -0.63 617 -0.23895 -0.05965 
10444530 0 39 43 41 38 12 18 0 0 1 4 6 6 0 7 0 0 -0.174 0.113 0.981 -1.33 2.38 -0.63 613 -0.24545 -0.0577 
10444538 0 39 44 40 38 12 18 0 0 0 4 6 7 0 6 0 1 -0.175 0.11 0.985 -1.47 2.31 -0.7 611 -0.24788 -0.06346 
10444548 0 39 45 40 38 11 18 0 0 0 4 6 7 0 6 0 1 -0.176 0.109 0.983 -1.47 2.38 -0.56 610 -0.24918 -0.0645 
10444558 0 39 46 40 38 11 18 0 0 1 4 6 6 0 8 0 1 -0.177 0.111 0.979 -1.33 2.45 -0.49 618 -0.2441 -0.06005 
10435801 1 0 5 2 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.222 0.039 0.971 -3.22 -3.85 3.22 25 0.0 0.0 
10435811 1 0 4 4 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.225 0.044 0.973 -3.29 -3.92 3.15 28 0.0 0.0 
10435823 1 0 5 3 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.22 0.046 0.978 -3.29 -4.06 3.22 28 0.0 0.0 
10435831 1 0 5 4 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.228 0.047 0.974 -3.29 -4.06 3.22 31 0.0 0.0 
10435841 1 0 5 5 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.22 0.04 0.969 -3.29 -4.2 3.29 37 0.0 0.0 
10435851 1 0 5 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.225 0.044 0.978 -3.36 -4.34 3.29 34 0.0 0.0 
10444570 0 39 46 40 38 12 18 0 0 0 4 7 6 0 7 0 0 -0.173 0.106 0.983 -1.26 2.38 -0.42 617 -0.24817 -0.06195 
10444578 0 39 44 40 38 13 17 0 0 0 4 7 6 0 7 0 0 -0.18 0.115 0.979 -1.19 2.45 -0.49 612 -0.24665 -0.05946 
10444588 0 38 43 40 38 13 17 0 0 1 4 6 6 0 7 0 0 -0.174 0.112 0.985 -0.98 2.66 -0.42 607 -0.24447 -0.05757 
10444598 0 38 44 39 38 12 17 0 0 2 4 7 6 0 7 0 0 -0.179 0.104 0.987 -0.77 2.8 -0.28 610 -0.24052 -0.05766 
10444610 0 40 44 39 38 14 17 0 0 2 3 6 6 0 7 0 0 -0.172 0.115 0.986 -0.49 2.94 -0.21 616 -0.24528 -0.05526 
10444618 0 40 44 39 38 13 17 0 0 0 4 6 8 0 7 0 0 -0.176 0.112 0.98 -0.35 3.01 -0.14 614 -0.2452 -0.06138 
10444628 0 40 44 40 38 14 17 0 0 0 4 6 8 0 6 0 1 -0.176 0.112 0.982 -0.21 2.87 -0.21 620 -0.24574 -0.06154 
10444638 0 40 44 40 38 14 17 0 0 0 4 6 8 0 6 0 0 -0.178 0.111 0.983 -0.21 2.87 -0.14 618 -0.24719 -0.06093 
10444650 0 40 44 39 38 15 19 0 0 0 4 6 8 0 6 1 0 -0.175 0.111 0.982 -0.21 2.94 0.0 627 -0.24262 -0.06319 
10444658 0 40 43 40 38 15 18 0 0 1 4 6 8 1 5 0 0 -0.173 0.11 0.987 -0.14 2.94 -0.14 625 -0.24347 -0.06141 
10444668 0 40 43 40 38 13 20 0 1 0 3 6 8 0 5 0 0 -0.182 0.109 0.979 0.07 3.15 0.0 620 -0.24885 -0.06783 
10435863 1 0 3 3 2 0 0 0 0 0 1 0 0 0 0 0 0 -0.224 0.041 0.976 -3.36 -4.41 3.22 26 0.0 0.0 
10435871 1 0 3 4 3 0 0 0 0 0 1 0 0 0 0 0 0 -0.226 0.04 0.97 -3.29 -4.48 3.22 32 0.0 0.0 
10435881 1 0 5 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.222 0.044 0.979 -3.36 -4.62 3.15 34 0.0 0.0 
10435891 1 0 4 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.225 0.045 0.972 -3.29 -4.9 3.15 31 0.0 0.0 
10435903 1 0 4 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.224 0.039 0.974 -3.43 -4.97 3.22 31 0.0 0.0 
10435911 1 0 6 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.223 0.044 0.975 -3.36 -5.11 3.29 36 0.0 0.0 
10435921 1 0 6 5 4 0 0 0 0 0 0 0 0 0 0 0 0 -0.223 0.044 0.975 -3.36 -5.11 3.29 42 0.0 0.0 
10435931 1 0 4 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.219 0.039 0.971 -3.36 -5.04 3.36 31 0.0 0.0 
10435943 1 0 5 4 3 0 0 0 0 1 0 0 0 0 0 0 0 -0.226 0.041 0.971 -3.22 -4.97 3.36 37 0.0 0.0 
10444678 0 40 43 39 38 12 20 0 1 1 4 6 9 1 6 0 1 -0.179 0.114 0.984 0.35 3.08 0.07 630 -0.23675 -0.06886 
10444690 0 40 44 40 38 12 20 0 1 0 4 6 8 1 6 0 1 -0.177 0.11 0.983 0.42 3.22 0.14 629 -0.24246 -0.06939 
10444698 0 40 44 40 40 13 21 0 1 0 4 6 9 0 4 0 0 -0.176 0.111 0.981 0.42 3.29 0.07 635 -0.24758 -0.072 
10444708 0 40 43 39 40 13 20 0 1 1 4 6 9 1 4 0 0 -0.181 0.117 0.983 0.49 3.22 0.14 633 -0.24287 -0.07095 
10444718 0 40 43 39 39 12 21 0 1 0 5 7 10 0 6 0 1 -0.178 0.113 0.977 0.63 3.08 0.14 639 -0.23465 -0.07166 
10435952 1 0 6 3 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.219 0.042 0.972 -3.08 -4.97 3.29 30 0.0 0.0 
10444730 0 38 43 39 39 11 21 0 0 0 4 7 10 0 6 0 0 -0.179 0.113 0.983 0.63 2.94 0.07 621 -0.23872 -0.07184 
10444738 0 37 42 39 40 11 20 0 1 0 4 7 10 1 5 0 0 -0.183 0.119 0.98 0.7 3.01 0.07 620 -0.23727 -0.07662 
10444748 0 40 43 39 39 11 20 0 1 0 4 6 9 2 4 0 0 -0.178 0.117 0.986 0.7 3.01 0.07 623 -0.2451 -0.07495 
10444758 0 40 44 39 40 11 20 0 1 1 4 6 9 4 5 0 1 -0.181 0.116 0.979 0.56 2.87 0.0 640 -0.23633 -0.07654 
10435961 1 0 5 3 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.219 0.042 0.972 -3.08 -4.97 3.29 28 0.0 0.0 
10435971 1 0 5 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.222 0.046 0.972 -3.15 -4.97 3.29 34 0.0 0.0 
10435983 1 0 5 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.22 0.044 0.972 -3.08 -4.69 3.29 34 0.0 0.0 
10435991 1 0 4 4 3 1 0 0 0 0 0 0 0 0 0 0 0 -0.217 0.043 0.97 -3.15 -4.55 3.43 34 0.0 0.0 
10436001 1 0 6 4 3 1 0 0 0 0 0 0 0 0 0 0 0 -0.222 0.046 0.971 -3.01 -4.41 3.22 39 0.0 0.0 
10436011 1 0 6 3 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.222 0.043 0.974 -2.87 -4.34 3.29 33 0.0 0.0 
10436023 1 0 4 3 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.224 0.044 0.972 -3.08 -4.34 3.36 28 0.0 0.0 
10436031 1 0 5 3 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.22 0.043 0.974 -3.29 -4.34 3.29 31 0.0 0.0 
10436041 1 0 5 2 4 0 0 0 0 0 0 0 0 0 0 0 0 -0.221 0.038 0.977 -3.15 -4.27 3.36 31 0.0 0.0 
10436051 1 0 5 3 3 0 0 0 0 1 0 0 0 0 0 0 0 -0.222 0.038 0.971 -3.08 -4.27 3.36 34 0.0 0.0 
10436063 1 0 3 2 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.223 0.047 0.97 -3.15 -4.27 3.29 20 0.0 0.0 
10436072 1 0 3 1 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.224 0.045 0.97 -3.15 -4.2 3.36 17 0.0 0.0 
10436081 1 0 5 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.222 0.041 0.971 -3.08 -4.2 3.22 34 0.0 0.0 
10444770 0 39 44 39 40 11 20 0 0 1 4 6 9 2 5 0 0 -0.181 0.119 0.979 0.28 3.01 -0.07 627 -0.24152 -0.07183 
10444778 0 39 43 39 39 11 20 0 1 0 4 6 8 1 5 0 0 -0.18 0.118 0.985 0.14 2.8 -0.14 617 -0.2456 -0.07234 
10436091 1 0 5 4 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.224 0.048 0.972 -3.01 -4.2 3.22 31 0.0 0.0 
10436103 1 0 4 4 1 0 0 0 0 0 0 0 0 0 0 0 0 -0.222 0.045 0.97 -3.01 -4.2 3.22 25 0.0 0.0 
10436111 1 0 4 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.225 0.042 0.971 -2.94 -4.2 3.29 31 0.0 0.0 
10436121 1 0 4 5 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.22 0.045 0.973 -3.08 -4.27 3.15 34 0.0 0.0 
10444788 0 39 44 39 39 11 20 0 1 0 4 6 8 1 5 0 1 -0.18 0.118 0.985 0.14 2.8 -0.14 621 -0.24485 -0.07329 
10444798 0 38 45 39 40 10 20 0 1 0 4 6 9 2 3 0 1 -0.176 0.115 0.978 -0.0 2.94 -0.14 621 -0.24684 -0.08026 
10444810 0 38 44 39 39 9 23 0 1 0 4 6 9 1 4 0 1 -0.179 0.118 0.979 -0.14 3.01 -0.28 621 -0.2443 -0.08025 
10444819 0 37 44 39 39 10 23 0 1 0 4 6 10 0 4 0 2 -0.179 0.113 0.98 -0.49 2.94 -0.42 624 -0.24104 -0.08054 
10444828 0 38 43 39 39 11 22 0 0 1 4 6 10 3 4 0 2 -0.179 0.113 0.98 -0.49 2.94 -0.42 630 -0.23502 -0.07797 
10444838 0 38 42 39 39 9 21 0 1 0 4 6 9 2 4 0 1 -0.182 0.121 0.977 -0.7 2.94 -0.49 613 -0.24219 -0.07914 
10444850 0 38 42 39 39 10 22 0 1 0 4 6 8 2 3 0 1 -0.179 0.118 0.979 -0.91 3.01 -0.49 614 -0.24578 -0.07935 
10444858 0 38 42 39 38 10 22 0 1 0 4 6 8 3 3 0 1 -0.18 0.12 0.982 -1.26 2.73 -0.56 613 -0.24398 -0.08011 
10444868 0 39 44 39 38 11 20 0 1 0 4 8 8 3 3 0 0 -0.18 0.12 0.982 -1.26 2.73 -0.56 622 -0.24352 -0.07719 
10436132 1 0 4 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.219 0.043 0.971 -3.01 -4.13 3.22 31 0.0 0.0 
10436143 1 0 5 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.223 0.039 0.972 -3.01 -4.06 3.29 34 0.0 0.0 
10436151 1 0 5 4 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.22 0.041 0.975 -3.08 -4.13 3.22 31 0.0 0.0 
10436161 1 0 4 3 1 0 0 0 0 1 0 0 0 0 0 0 0 -0.22 0.042 0.979 -2.94 -4.2 3.29 26 0.0 0.0 
10436171 1 0 4 3 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.215 0.043 0.974 -3.01 -4.06 3.29 25 0.0 0.0 
10436183 1 0 4 3 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.224 0.038 0.973 -3.08 -4.06 3.29 28 0.0 0.0 
10436192 1 0 5 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.224 0.043 0.976 -2.94 -4.2 3.36 34 0.0 0.0 
10436201 1 0 5 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.225 0.047 0.972 -2.94 -4.13 3.22 34 0.0 0.0 
10436211 1 0 4 3 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.221 0.044 0.971 -3.08 -4.13 3.29 28 0.0 0.0 
10436224 1 0 3 3 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.222 0.046 0.967 -3.01 -4.13 3.36 23 0.0 0.0 
10436231 1 0 4 3 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.221 0.045 0.979 -3.08 -4.13 3.22 25 0.0 0.0 
10444879 0 39 44 39 39 11 20 0 1 0 4 8 8 3 3 0 0 -0.183 0.121 0.982 -1.61 2.66 -0.7 625 -0.24374 -0.0779 
10444890 0 38 43 39 38 11 20 0 1 1 4 7 8 3 3 0 1 -0.18 0.115 0.982 -2.31 2.73 -0.91 619 -0.23992 -0.07604 
10444898 0 37 43 39 38 11 23 0 1 0 4 9 10 0 4 0 2 -0.18 0.121 0.979 -2.59 2.8 -0.98 630 -0.2332 -0.07932 
10444909 0 37 42 39 38 11 23 0 1 0 4 8 10 0 4 0 1 -0.176 0.12 0.979 -2.66 2.73 -0.91 623 -0.23598 -0.07824 
10444918 0 38 43 39 38 11 21 0 1 0 4 8 9 4 3 0 0 -0.182 0.113 0.979 -2.73 2.66 -0.91 625 -0.23803 -0.08106 
10444930 0 38 43 39 38 11 23 0 1 1 4 8 10 1 4 0 0 -0.176 0.12 0.988 -2.73 2.73 -0.91 633 -0.23455 -0.07664 
10444939 0 38 43 39 38 11 22 0 1 1 5 7 10 0 4 0 1 -0.187 0.118 0.981 -2.66 2.59 -0.91 629 -0.235 -0.07401 
10444948 0 38 42 39 38 11 21 0 1 0 4 7 10 2 4 0 1 -0.181 0.115 0.982 -2.52 2.59 -0.84 622 -0.23659 -0.07826 
10444959 0 38 43 39 38 11 20 0 1 0 4 7 9 1 4 0 1 -0.184 0.115 0.979 -2.03 2.45 -0.7 616 -0.24138 -0.07519 
10444971 0 38 43 39 38 11 20 0 1 0 4 7 10 2 4 0 1 -0.176 0.117 0.981 -1.61 2.52 -0.56 621 -0.23773 -0.07768 
10444979 0 37 44 39 38 11 20 0 2 0 5 7 10 2 4 0 1 -0.183 0.114 0.982 -1.26 2.45 -0.49 628 -0.23404 -0.08032 
10444989 0 38 44 39 39 11 21 0 2 0 4 7 10 3 5 0 1 -0.178 0.117 0.977 -1.12 2.38 -0.49 638 -0.23293 -0.08217 
10444999 0 38 44 39 39 10 21 0 1 0 4 7 10 2 5 0 0 -0.178 0.12 0.98 -0.91 2.24 -0.28 627 -0.23782 -0.07883 
10445011 0 38 44 39 39 11 20 0 0 1 4 7 10 1 5 0 0 -0.176 0.116 0.98 -0.84 2.31 -0.35 625 -0.2379 -0.07168 
10445019 0 37 43 39 39 11 20 0 0 0 4 8 9 0 4 0 0 -0.181 0.117 0.979 -0.84 2.31 -0.35 611 -0.24327 -0.07275 
10445029 0 37 44 39 39 11 20 0 0 0 5 7 9 1 4 0 0 -0.179 0.117 0.984 -0.63 2.38 -0.28 616 -0.24235 -0.07378 
10445039 0 37 43 39 39 11 20 0 0 0 4 8 10 2 2 0 1 -0.179 0.121 0.979 -0.56 2.52 -0.35 615 -0.24149 -0.07923 
10436241 1 0 5 3 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.225 0.047 0.973 -3.22 -4.2 3.36 31 0.0 0.0 
10436251 1 0 6 3 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.226 0.038 0.98 -3.15 -4.06 3.36 33 0.0 0.0 
10436264 1 0 5 3 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.225 0.046 0.972 -3.15 -4.13 3.29 31 0.0 0.0 
10436271 1 0 5 4 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.221 0.04 0.969 -3.08 -4.06 3.22 31 0.0 0.0 
10436281 1 0 5 4 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.221 0.047 0.972 -3.15 -4.06 3.36 31 0.0 0.0 
10436291 1 0 5 4 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.222 0.043 0.969 -3.22 -4.13 3.36 31 0.0 0.0 
10436303 1 0 4 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.225 0.042 0.971 -3.15 -4.06 3.22 31 0.0 0.0 
10445051 0 38 44 39 39 11 21 0 1 0 4 7 10 2 4 0 1 -0.178 0.117 0.979 -0.42 2.52 -0.28 630 -0.23828 -0.07966 
10445059 0 38 44 39 38 11 21 0 0 0 4 6 9 1 6 0 1 -0.183 0.118 0.986 -0.49 2.52 -0.21 619 -0.24046 -0.0723 
10445069 0 40 43 39 39 11 20 0 1 0 4 6 9 0 4 0 1 -0.181 0.122 0.98 -0.35 2.66 -0.28 619 -0.2468 -0.07258 
10436312 1 0 3 3 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.216 0.043 0.967 -3.22 -4.06 3.22 23 0.0 0.0 
10436322 1 0 4 3 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.223 0.043 0.977 -3.29 -4.13 3.22 28 0.0 0.0 
10436332 1 0 5 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.221 0.044 0.975 -3.29 -4.06 3.22 34 0.0 0.0 
10445079 0 40 42 39 39 11 20 0 1 1 4 6 9 1 2 0 0 -0.175 0.119 0.98 -0.35 2.87 -0.21 617 -0.24802 -0.07298 
10445091 0 38 44 39 38 10 20 0 1 0 4 7 9 3 4 0 1 -0.18 0.12 0.98 -0.35 2.8 -0.14 620 -0.23953 -0.07916 
10445099 0 38 44 39 38 9 20 0 1 0 4 8 8 3 2 0 0 -0.186 0.119 0.985 -0.35 2.87 -0.21 611 -0.24644 -0.08038 
10436343 1 0 4 3 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.221 0.041 0.977 -3.29 -3.99 3.22 25 0.0 0.0 
10436352 1 0 5 3 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.222 0.047 0.974 -3.22 -4.13 3.29 28 0.0 0.0 
10445109 0 38 43 39 38 9 20 0 1 0 4 8 10 3 2 0 0 -0.185 0.122 0.979 -0.35 3.08 -0.14 614 -0.24147 -0.08205 
10445119 0 37 44 39 38 9 20 0 1 0 4 7 10 3 1 0 0 -0.183 0.12 0.983 -0.28 3.22 -0.14 609 -0.24613 -0.08412 
10445131 0 37 44 39 39 9 21 0 0 0 4 7 10 4 1 0 0 -0.179 0.121 0.977 -0.28 3.5 -0.14 613 -0.24587 -0.08508 
10445139 0 37 44 39 40 11 20 0 1 0 4 7 10 4 2 0 0 -0.177 0.123 0.979 -0.21 3.29 -0.07 625 -0.24136 -0.08452 
10445149 0 38 43 39 39 11 20 0 1 0 5 7 10 3 4 0 0 -0.176 0.115 0.982 -0.21 3.36 -0.14 628 -0.23569 -0.07863 
10445159 0 37 43 39 39 10 22 0 2 0 5 7 9 3 4 0 0 -0.179 0.126 0.981 -0.07 3.36 -0.07 629 -0.23523 -0.08305 
10436361 1 0 5 3 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.222 0.047 0.974 -3.22 -4.13 3.29 28 0.0 0.0 
10436372 1 0 4 3 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.229 0.043 0.973 -3.22 -4.06 3.22 25 0.0 0.0 
10436384 1 0 3 3 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.231 0.042 0.983 -3.22 -4.13 3.36 23 0.0 0.0 
10436392 1 0 3 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.228 0.045 0.977 -3.08 -4.06 3.15 29 0.0 0.0 
10445171 0 37 43 39 38 10 22 0 2 0 4 7 9 3 1 0 0 -0.184 0.121 0.979 -0.14 3.22 -0.14 616 -0.24449 -0.08599 
10445179 0 37 43 39 38 11 23 0 2 0 5 7 9 4 0 0 1 -0.18 0.118 0.984 -0.07 3.22 -0.14 627 -0.24073 -0.08841 
10436402 1 0 4 3 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.228 0.045 0.977 -3.08 -4.06 3.15 28 0.0 0.0 
10436412 1 0 5 3 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.224 0.05 0.97 -3.08 -4.06 3.22 31 0.0 0.0 
10436424 1 0 4 3 2 0 0 0 0 1 0 0 0 0 0 0 0 -0.222 0.038 0.974 -3.22 -4.13 3.29 29 0.0 0.0 
10436432 1 0 4 3 2 0 0 0 0 1 0 0 0 0 0 0 0 -0.225 0.042 0.979 -3.01 -4.13 3.22 29 0.0 0.0 
10436442 1 0 5 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.224 0.043 0.98 -3.08 -4.2 3.22 34 0.0 0.0 
10445189 0 38 43 39 39 11 23 0 2 0 5 7 9 4 0 0 1 -0.176 0.122 0.974 -0.28 3.22 -0.21 633 -0.24168 -0.08818 
10445199 0 37 42 39 40 9 23 0 1 1 4 7 8 4 1 0 1 -0.182 0.121 0.98 -0.42 3.15 -0.35 620 -0.2421 -0.08548 
10445211 0 37 43 39 40 10 23 0 1 0 4 7 9 3 0 0 2 -0.182 0.125 0.975 -0.63 3.15 -0.42 622 -0.24559 -0.08824 
10445219 0 37 44 39 39 10 22 0 2 0 5 7 9 4 0 0 1 -0.179 0.125 0.978 -0.84 3.08 -0.42 626 -0.24263 -0.08922 
10445229 0 37 43 39 39 9 21 0 2 0 5 7 10 4 1 0 0 -0.175 0.128 0.977 -0.91 2.94 -0.49 622 -0.23982 -0.08818 
10445239 0 37 42 39 38 9 22 0 2 0 5 7 10 6 2 0 1 -0.186 0.126 0.982 -1.05 2.94 -0.56 627 -0.23157 -0.09044 
10445251 0 37 42 39 39 9 24 0 1 0 4 7 10 6 2 0 1 -0.186 0.114 0.978 -1.26 3.01 -0.77 629 -0.23467 -0.09151 
10445259 0 37 42 39 39 11 24 0 2 0 4 8 8 5 2 0 1 -0.185 0.125 0.98 -1.47 2.94 -0.7 634 -0.23563 -0.08892 
10445269 0 37 43 39 38 11 23 0 2 0 5 8 12 6 1 0 1 -0.179 0.122 0.982 -1.68 2.87 -0.77 645 -0.22729 -0.09308 
10436452 1 0 5 3 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.223 0.042 0.975 -3.08 -4.2 3.22 28 0.0 0.0 
10436464 1 0 4 2 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.223 0.044 0.972 -3.08 -4.13 3.29 25 0.0 0.0 
10436472 1 0 5 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.217 0.043 0.97 -3.08 -4.06 3.29 34 0.0 0.0 
10436482 1 0 3 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.216 0.042 0.97 -3.15 -3.99 3.36 29 0.0 0.0 
10436492 1 0 4 3 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.22 0.045 0.976 -3.22 -4.06 3.36 28 0.0 0.0 
10436504 1 0 5 3 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.226 0.043 0.973 -3.22 -4.06 3.29 31 0.0 0.0 
10436512 1 0 4 3 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.22 0.039 0.971 -3.15 -4.06 3.29 25 0.0 0.0 
10436522 1 0 5 3 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.222 0.045 0.971 -3.22 -4.13 3.36 28 0.0 0.0 
10436532 1 0 5 3 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.217 0.044 0.971 -3.29 -4.06 3.36 28 0.0 0.0 
10436544 1 0 4 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.226 0.042 0.972 -3.08 -3.99 3.29 31 0.0 0.0 
10436552 1 0 5 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.22 0.045 0.977 -3.08 -4.06 3.22 34 0.0 0.0 
10436562 1 0 4 3 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.226 0.043 0.974 -3.08 -4.06 3.22 28 0.0 0.0 
10436572 1 0 3 4 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.222 0.042 0.969 -3.01 -4.2 3.29 26 0.0 0.0 
10445279 0 37 44 39 38 9 23 0 2 0 4 8 13 7 1 0 1 -0.183 0.123 0.977 -2.03 2.94 -0.84 644 -0.22764 -0.09775 
10445291 0 40 43 39 40 9 22 0 1 0 5 8 11 7 2 0 0 -0.181 0.123 0.982 -2.31 2.87 -0.84 647 -0.23238 -0.0893 
10445299 0 40 42 39 40 9 21 0 1 0 4 7 11 5 2 0 1 -0.181 0.121 0.979 -2.52 2.66 -0.98 633 -0.23783 -0.08645 
