time side P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 acc1 acc2 acc3 ang1 ang2 ang3 totalForce cop1 cop2 
10406501 0 27 73 39 38 15 20 0 2 2 6 12 18 18 11 0 3 -0.191 0.125 0.981 -3.08 1.47 -0.07 789 -0.18098 -0.10987 
10406511 0 26 73 39 38 14 20 0 2 1 6 11 18 17 11 0 3 -0.196 0.126 0.977 -2.59 1.54 -0.21 774 -0.18497 -0.11202 
10397065 1 2 17 6 4 0 2 0 1 0 0 0 2 2 0 0 0 -0.207 0.081 0.966 -1.19 -6.44 4.62 99 -0.27565 -0.14789 
10397073 1 2 16 5 5 0 1 0 1 0 0 0 2 2 0 0 0 -0.212 0.083 0.969 -1.75 -6.09 4.48 94 -0.27649 -0.15361 
10406521 0 29 75 39 38 15 21 1 2 2 6 10 18 18 10 0 3 -0.195 0.124 0.982 -2.31 1.75 -0.21 799 -0.18722 -0.10826 
10397083 1 0 15 6 5 0 0 0 1 0 0 0 2 2 0 0 0 -0.214 0.085 0.966 -2.24 -5.53 4.2 86 -0.26792 -0.15777 
10406533 0 29 75 39 38 14 21 0 2 2 7 10 17 18 9 1 3 -0.197 0.126 0.977 -2.38 1.82 -0.07 792 -0.18836 -0.11017 
10406541 0 28 75 39 38 14 23 0 2 2 7 10 17 16 8 1 3 -0.193 0.126 0.981 -2.45 1.96 -0.14 788 -0.19122 -0.11093 
10397093 1 0 15 5 5 0 1 0 1 0 0 0 2 2 0 0 0 -0.213 0.087 0.974 -2.66 -5.32 3.92 86 -0.26399 -0.17057 
10406551 0 28 75 39 38 14 23 0 2 2 6 11 17 17 8 1 3 -0.2 0.121 0.982 -2.66 2.17 -0.28 790 -0.19019 -0.11262 
10397105 1 2 15 5 5 0 2 0 1 0 0 0 2 3 0 0 0 -0.209 0.09 0.969 -3.01 -5.04 3.64 97 -0.25815 -0.16446 
10397113 1 1 15 5 5 0 3 0 1 0 0 0 2 2 0 0 0 -0.209 0.089 0.971 -3.71 -4.2 3.29 94 -0.26112 -0.16864 
10397124 1 0 15 5 5 0 3 0 0 0 0 0 2 2 0 0 0 -0.209 0.089 0.971 -3.71 -4.2 3.29 87 -0.26836 -0.16699 
10397133 1 0 14 5 5 0 2 0 1 0 0 0 2 2 0 0 0 -0.217 0.074 0.969 -4.06 -4.06 3.08 86 -0.25566 -0.17423 
10406561 0 28 74 39 39 14 21 1 2 2 6 10 17 17 7 0 2 -0.192 0.129 0.975 -2.87 2.45 -0.35 780 -0.19526 -0.11037 
10406573 0 26 75 39 40 14 22 0 2 0 6 10 16 17 7 0 2 -0.197 0.126 0.98 -2.87 2.52 -0.28 768 -0.20185 -0.11802 
10406581 0 29 75 40 40 14 22 1 2 2 5 9 16 15 8 0 2 -0.194 0.127 0.98 -2.73 2.73 -0.35 783 -0.20219 -0.107 
